TV,Radio,Newspaper,Sales
230.6,42.0,25.7,23.6
172.8,21.2,17.7,15.85
233.6,10.7,42.3,17.56
153.2,28.5,32.4,15.73
161.6,39.6,52.9,19.27
134.0,14.7,7.9,12.9
17.4,33.0,87.7,13.05
41.3,8.8,88.8,8.23
19.1,7.3,63.1,7.03
194.6,28.9,48.7,18.02
101.2,29.3,28.5,13.66
157.5,33.7,73.4,17.2
273.2,37.7,61.9,24.5
82.3,48.9,15.5,16.57
129.0,28.2,82.1,15.96
229.1,19.5,74.2,21.6
76.4,40.8,85.5,16.77
32.3,17.2,65.6,8.49
94.0,24.8,55.6,15.04
56.8,8.5,38.2,7.84
279.6,6.1,84.0,15.24
244.4,48.3,78.1,23.09
193.7,42.6,5.0,18.32
262.7,36.3,3.3,22.59
243.1,23.4,34.5,19.84
64.1,12.8,73.1,12.14
268.8,12.0,88.9,19.41
166.4,16.3,14.4,14.6
244.2,29.7,53.9,22.32
269.9,37.2,34.9,20.32
102.2,34.7,87.3,15.87
41.9,17.6,75.9,10.67
76.1,48.0,75.6,14.58
133.9,38.2,42.7,19.3
247.2,29.9,37.9,21.75
259.6,32.5,25.3,21.66
12.0,23.9,6.0,10.2
158.1,16.1,78.0,17.99
131.0,21.0,73.3,14.53
74.4,39.1,90.0,15.44
44.8,5.6,89.7,6.72
107.9,10.2,50.4,9.86
283.4,7.1,69.4,19.88
103.7,6.8,85.1,9.06
160.4,43.5,76.6,19.94
213.9,36.7,23.0,20.24
115.5,26.3,41.1,15.22
291.8,9.4,12.5,19.9
289.1,27.1,85.9,24.24
83.0,26.3,54.9,12.25
154.2,12.8,21.3,13.32
97.3,24.5,60.8,11.88
92.6,22.9,56.0,12.16
20.7,32.7,32.9,11.9
186.8,33.6,11.1,20.25
155.8,7.0,60.8,11.37
24.9,21.9,47.3,10.81
90.8,33.2,69.7,16.72
273.4,27.6,47.3,22.64
79.5,43.5,76.8,18.93
52.0,34.6,50.1,11.99
151.9,12.3,50.9,11.69
295.8,8.2,79.0,16.76
80.2,33.9,36.9,16.54
204.9,6.2,12.9,15.79
230.9,31.4,3.6,20.64
78.9,47.3,68.2,17.21
221.2,30.9,56.2,18.55
116.7,22.5,63.7,17.52
193.4,33.9,20.0,19.69
193.7,25.6,13.1,18.11
165.4,29.6,2.3,18.45
36.2,47.4,32.2,15.52
252.2,22.4,53.5,20.4
103.0,48.3,35.9,16.86
64.1,45.7,39.9,16.49
21.8,13.8,81.5,10.7
181.4,8.1,32.0,16.12
206.5,9.5,46.7,17.93
14.8,5.8,70.7,5.28
158.5,9.2,36.3,11.78
75.7,35.7,56.4,14.27
197.1,8.2,77.8,14.97
60.6,19.4,85.5,12.35
210.4,43.0,14.1,19.44
122.2,6.0,83.5,13.33
281.7,41.7,44.8,24.79
49.9,17.7,24.0,9.2
108.9,10.3,41.9,9.67
42.9,36.4,88.2,10.61
278.2,33.3,44.8,24.54
264.4,44.5,30.3,24.87
84.8,38.1,57.4,13.38
201.4,41.2,22.4,19.28
247.0,17.7,7.8,18.39
171.0,13.0,12.5,17.02
163.6,38.8,12.4,18.64
80.1,41.3,14.5,13.41
37.0,49.6,13.4,14.87
270.2,23.6,58.0,20.71
271.1,21.7,17.2,16.73
193.6,39.9,31.8,20.56
108.3,20.3,80.8,12.74
111.3,46.9,43.2,19.22
220.5,43.6,60.4,25.38
270.2,24.3,16.3,22.9
267.3,38.8,18.1,23.4
236.2,39.0,4.6,20.73
